Linux 6.17.0-19-generic (prateek) 	29/03/26 	_x86_64_	(8 CPU)

05:18:26 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:42 PM IST    1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:42 PM IST    2    0.99    0.99    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
05:18:42 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:42 PM IST    4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:18:42 PM IST    5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:42 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:42 PM IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:18:42 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:43 PM IST  all   37.97    0.00    0.88    0.00    0.00    0.13    0.00    0.00    0.00   61.03
05:18:43 PM IST    0    0.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
05:18:43 PM IST    1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:43 PM IST    2    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:43 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:43 PM IST    4    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:18:43 PM IST    5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:43 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:43 PM IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:18:43 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:44 PM IST  all   38.33    0.00    0.62    0.00    0.00    0.37    0.00    0.00    0.00   60.67
05:18:44 PM IST    0    0.00    0.00    2.97    0.00    0.00    2.97    0.00    0.00    0.00   94.06
05:18:44 PM IST    1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:18:44 PM IST    2    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:18:44 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:44 PM IST    4    4.95    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   94.06
